grid_id,iso_week,cumulative_rainfall_mm,ndvi
LS-00135,2026-W30,4.636874675750732,0.8296446008023186
LS-00136,2026-W30,4.636874675750732,0.7400076162040204
LS-00137,2026-W30,4.636874675750732,0.8721515072506716
LS-00138,2026-W30,4.636874675750732,0.6302354651524198
LS-00139,2026-W30,4.636874675750732,0.8121695149627105
LS-00140,2026-W30,4.636874675750732,0.8588963865111179
LS-00141,2026-W30,4.636874675750732,0.8712714160805366
LS-00142,2026-W30,4.636874675750732,0.8720273335081602
LS-00143,2026-W30,4.636874675750732,0.8700772312329366
LS-00144,2026-W30,4.636874675750732,0.8611399147639729
LS-00145,2026-W30,4.636874675750732,0.8672948364320691
LS-00146,2026-W30,4.636874675750732,0.867825680362601
LS-00147,2026-W30,4.636874675750732,0.8415949818137054
LS-00148,2026-W30,4.636874675750732,0.8470619941243545
LS-00149,2026-W30,4.636874675750732,0.6251961099239122
LS-00150,2026-W30,4.636874675750732,0.4508296749799551
LS-00151,2026-W30,4.636874675750732,0.7299273156738902
LS-00152,2026-W30,4.636874675750732,0.735778546360155
LS-00153,2026-W30,4.636874675750732,0.8254084210416253
LS-00154,2026-W30,4.636874675750732,0.760832801353015
LS-00155,2026-W30,4.636874675750732,0.8271175925512085
LS-00156,2026-W30,4.717246459614148,0.7356285778759154
LS-00157,2026-W30,4.636874675750732,0.7627197990799282
LS-00158,2026-W30,4.650533210272077,0.7555833259988356
LS-00159,2026-W30,4.636874675750732,0.8502228392323239
LS-00160,2026-W30,4.636874675750732,0.7973093363036657
LS-00161,2026-W30,4.636874675750732,0.8603578130350436
LS-00162,2026-W30,4.636874675750732,0.8615367080412077
LS-00163,2026-W30,4.636874675750732,0.8443131653051176
LS-00164,2026-W30,4.636874675750732,0.8387064492408871
LS-00165,2026-W30,4.636874675750732,0.8403396880460712
LS-00166,2026-W30,4.636874675750732,0.8329074512293342
LS-00167,2026-W30,4.636874675750732,0.8495788769192636
LS-00168,2026-W30,4.636874675750732,0.8525034857411706
LS-00169,2026-W30,0.0,0.8353361749944889
LS-00170,2026-W30,0.0,0.8243113943396863
LS-00171,2026-W30,0.0,0.8405913531844219
LS-00172,2026-W30,0.0,0.8330748201201911
LS-00173,2026-W30,0.0,0.8184350061207044
LS-00174,2026-W30,0.0,0.8452215134008378
LS-00175,2026-W30,0.0,0.8221752030920761
LS-00176,2026-W30,0.0,0.8254461701306696
LS-00177,2026-W30,0.0,0.8411382285575639
LS-00178,2026-W30,0.0,0.8467014691578756
LS-00179,2026-W30,4.699805736541748,0.8266150578591381
LS-00180,2026-W30,4.699805736541748,0.8293357213795001
LS-00181,2026-W30,0.0,0.8241007085645945
LS-00182,2026-W30,0.0,0.8432592418565802
LS-00183,2026-W30,0.0,0.8321833892756382
LS-00184,2026-W30,4.699805736541748,0.8341968833838552
LS-00185,2026-W30,4.699805736541748,0.8331945115730119
LS-00186,2026-W30,4.699805736541748,0.8265126752364843
LS-00187,2026-W30,4.699805736541748,0.8199586692318653
LS-00188,2026-W30,4.699805736541748,0.8371237826158717
LS-00189,2026-W30,4.699805736541748,0.8354297302559976
LS-00190,2026-W30,4.699805736541748,0.8306699395851791
LS-00191,2026-W30,4.699805736541748,0.8253600674107368
LS-00192,2026-W30,4.699805736541748,0.8340530691826534
LS-00193,2026-W30,4.699805736541748,0.8372931323561957
LS-00194,2026-W30,4.699805736541748,0.8443729384588536
LS-00195,2026-W30,4.699805736541748,0.8151295261871014
LS-00196,2026-W30,4.699805736541748,0.830955160741199
LS-00197,2026-W30,4.699805736541748,0.8310713141882505
LS-00198,2026-W30,4.699805736541748,0.8237626848305812
LS-00199,2026-W30,4.699805736541748,0.8471050536976799
LS-00200,2026-W30,4.699805736541748,0.832726762867427
LS-00201,2026-W30,4.699805736541748,0.8495751243062429
LS-00202,2026-W30,4.699805736541748,0.8268295865664763
LS-00203,2026-W30,4.699805736541748,0.847708748208141
LS-00204,2026-W30,4.699805736541748,0.8464663117275729
LS-00205,2026-W30,4.699805736541748,0.8344138062516505
LS-00206,2026-W30,4.699805736541748,0.8475823878692146
LS-00207,2026-W30,4.699805736541748,0.8392598370475208
LS-00208,2026-W30,4.636874675750732,0.845959997985925
LS-00209,2026-W30,4.636874675750732,0.8458603217187383
LS-00210,2026-W30,4.636874675750732,0.8393357747839038
LS-00211,2026-W30,4.636874675750732,0.8685031429454494
LS-00212,2026-W30,4.636874675750732,0.8606640180335741
LS-00213,2026-W30,4.636874675750732,0.8736530393402107
LS-00214,2026-W30,4.636874675750732,0.8675379879916231
LS-00215,2026-W30,4.636874675750732,0.8587749055199372
LS-00216,2026-W30,4.636874675750732,0.8678141461093838
LS-00217,2026-W30,5.349850177764893,0.8550226542770446
LS-00218,2026-W30,4.636874675750732,0.8599781060186031
LS-00219,2026-W30,4.636874675750732,0.8595927454232801
LS-00220,2026-W30,4.636874675750732,0.8672927366129345
LS-00221,2026-W30,4.03915254957974,0.8516657504380366
LS-00222,2026-W30,4.636874675750732,0.8471906760019126
LS-00223,2026-W30,4.005393688780788,0.8405898681129387
LS-00224,2026-W30,4.636874675750732,0.8553589704559593
LS-00225,2026-W30,5.258437678217887,0.8345151260606963
LS-00226,2026-W30,5.349850177764893,0.8462447447196274
LS-00227,2026-W30,5.349850177764893,0.8336798554906207
LS-00228,2026-W30,4.699805736541748,0.8340432379261535
LS-00229,2026-W30,4.699805736541748,0.8373030926189996
LS-00230,2026-W30,4.699805736541748,0.8305443724862673
LS-00231,2026-W30,4.699805736541748,0.8347588899931856
LS-00232,2026-W30,4.699805736541748,0.8315039608478622
LS-00233,2026-W30,5.248280733823776,0.8304250312314674
LS-00234,2026-W30,4.699805736541748,0.827253985420545
LS-00235,2026-W30,4.699805736541748,0.8310566436732197
LS-00236,2026-W30,4.699805736541748,0.8395173697173647
LS-00237,2026-W30,5.245741497725248,0.8252059501550199
LS-00238,2026-W30,5.349850177764893,0.8433719957312497
LS-00239,2026-W30,5.349850177764893,0.8630144994600513
LS-00240,2026-W30,5.349850177764893,0.8587011446582762
LS-00241,2026-W30,5.349850177764893,0.8712139130239716
LS-00242,2026-W30,5.349850177764893,0.8602165377188175
LS-00243,2026-W30,5.349850177764893,0.805046905886911
LS-00244,2026-W30,5.349850177764893,0.8548209387214415
LS-00245,2026-W30,5.349850177764893,0.8567848211135225
LS-00246,2026-W30,5.349850177764893,0.852256298858607
LS-00247,2026-W30,5.349850177764893,0.8349239055218247
LS-00248,2026-W30,5.349850177764893,0.8153872135431944
LS-00249,2026-W30,5.349850177764893,0.8260121886938988
LS-00250,2026-W30,5.253359206020831,0.8244193869167045
LS-00251,2026-W30,5.349850177764893,0.8292424070469705
LS-00252,2026-W30,5.349850177764893,0.8248083042534863
LS-00253,2026-W30,5.349850177764893,0.8303317335557712
LS-00254,2026-W30,5.349850177764893,0.8347054204312697
LS-00255,2026-W30,5.349850177764893,0.8284177408682047
LS-00256,2026-W30,5.349850177764893,0.8377406296317504
LS-00257,2026-W30,5.349850177764893,0.8547811172335813
LS-00258,2026-W30,5.349850177764893,0.816834001818012
LS-00259,2026-W30,5.349850177764893,0.7976932186124179
LS-00260,2026-W30,5.349850177764893,0.7674607574574188
LS-00261,2026-W30,5.349850177764893,0.8070811800652935
LS-00262,2026-W30,5.349850177764893,0.7399435823777937
LS-00263,2026-W30,5.349850177764893,0.7584060810509553
LS-00264,2026-W30,5.349850177764893,0.7692905884807968
LS-00265,2026-W30,5.349850177764893,0.8536865989813537
LS-00266,2026-W30,5.349850177764893,0.7978438669937408
LS-00267,2026-W30,5.349850177764893,0.8637165494380031
LS-00268,2026-W30,4.699805736541748,0.8409414547021399
LS-00269,2026-W30,4.699805736541748,0.8399566101086541
LS-00270,2026-W30,4.699805736541748,0.8322423446444881
LS-00271,2026-W30,5.2406630255281925,0.8347995971556549
LS-00272,2026-W30,5.235584553331137,0.8556788214811375
LS-00273,2026-W30,4.699805736541748,0.8470953773929348
LS-00274,2026-W30,4.699805736541748,0.8476053983370831
LS-00275,2026-W30,4.699805736541748,0.8511038062703553
LS-00276,2026-W30,5.230506081134081,0.8526260463342211
LS-00277,2026-W30,4.699805736541748,0.8545406319356385
LS-00278,2026-W30,5.349850177764893,0.7790543922426462
LS-00279,2026-W30,5.349850177764893,0.7504975046303528
LS-00280,2026-W30,5.349850177764893,0.8569987320682838
LS-00281,2026-W30,5.349850177764893,0.867124934088075
LS-00282,2026-W30,5.349850177764893,0.8724003327998733
LS-00283,2026-W30,5.349850177764893,0.745438708129586
LS-00284,2026-W30,5.349850177764893,0.8462691642240138
LS-00285,2026-W30,5.349850177764893,0.8768755509613786
LS-00286,2026-W30,5.349850177764893,0.8379861864865432
LS-00287,2026-W30,5.349850177764893,0.8703782761531814
LS-00288,2026-W30,5.349850177764893,0.8711641059959504
LS-00289,2026-W30,5.349850177764893,0.8759668795951285
LS-00290,2026-W30,5.349850177764893,0.7489036637947011
LS-00291,2026-W30,5.349850177764893,0.7821810780182593
LS-00292,2026-W30,5.349850177764893,0.875865077594875
LS-00293,2026-W30,5.349850177764893,0.7766958222828613
LS-00294,2026-W30,5.349850177764893,0.8366141902991806
LS-00295,2026-W30,5.349850177764893,0.7501090237060215
LS-00296,2026-W30,5.349850177764893,0.7688118860741152
LS-00297,2026-W30,5.349850177764893,0.718582862472671
LS-00298,2026-W30,5.227966845035554,0.8696746801610915
LS-00299,2026-W30,4.699805736541748,0.8586192279851397
LS-00300,2026-W30,4.699805736541748,0.8656909154777623
LS-00301,2026-W30,4.699805736541748,0.865567772185527
LS-00302,2026-W30,5.222888372838497,0.870120701026602
LS-00303,2026-W30,4.699805736541748,0.8740555806451493
LS-00304,2026-W30,5.217809900641442,0.8643315674423183
LS-00305,2026-W30,4.699805736541748,0.8670595234800219
LS-00306,2026-W30,4.699805736541748,0.8589811554552766
