pixel_id,rbd_vh,burned,burned_area_hectares,rain_masked,cluster_mean_rbd_vh_burned,cluster_mean_rbd_vh_unburned
PX-183,2.0294197205826414,False,0.0,False,5.6207525532984075,1.901463682474826
PX-184,2.3577685458528457,False,0.0,False,5.6207525532984075,1.901463682474826
PX-185,2.522269113072067,False,0.0,False,5.6207525532984075,1.901463682474826
PX-186,2.4325047743668193,False,0.0,False,5.6207525532984075,1.901463682474826
PX-187,2.462796600586321,False,0.0,False,5.6207525532984075,1.901463682474826
PX-188,2.293883109069954,False,0.0,False,5.6207525532984075,1.901463682474826
PX-189,2.5033322635063673,False,0.0,False,5.6207525532984075,1.901463682474826
PX-190,2.687825212715394,False,0.0,False,5.6207525532984075,1.901463682474826
PX-191,2.695935413996171,False,0.0,False,5.6207525532984075,1.901463682474826
PX-192,2.6132602166992633,False,0.0,False,5.6207525532984075,1.901463682474826
PX-193,2.5101547854518778,False,0.0,False,5.6207525532984075,1.901463682474826
PX-194,2.5390060392324063,False,0.0,False,5.6207525532984075,1.901463682474826
PX-195,2.7038164232645165,False,0.0,False,5.6207525532984075,1.901463682474826
PX-196,2.710323060668399,False,0.0,False,5.6207525532984075,1.901463682474826
PX-197,2.9766473367164448,False,0.0,False,5.6207525532984075,1.901463682474826
PX-198,1.2307442332509435,False,0.0,False,5.6207525532984075,1.901463682474826
PX-199,1.1744852488457909,False,0.0,False,5.6207525532984075,1.901463682474826
PX-200,0.7968618409587354,False,0.0,False,5.6207525532984075,1.901463682474826
PX-201,0.6463257044456352,False,0.0,False,5.6207525532984075,1.901463682474826
PX-202,0.7260091830541242,False,0.0,False,5.6207525532984075,1.901463682474826
PX-203,0.6058893590446353,False,0.0,False,5.6207525532984075,1.901463682474826
PX-204,0.6922767002781782,False,0.0,False,5.6207525532984075,1.901463682474826
PX-205,0.5238187851498761,False,0.0,False,5.6207525532984075,1.901463682474826
PX-206,0.04060911218659946,False,0.0,False,5.6207525532984075,1.901463682474826
PX-207,-0.0304293458374012,False,0.0,False,5.6207525532984075,1.901463682474826
PX-208,0.29016668901602394,False,0.0,False,5.6207525532984075,1.901463682474826
PX-209,0.33306251309364576,False,0.0,False,5.6207525532984075,1.901463682474826
PX-210,2.873598487424548,False,0.0,False,5.6207525532984075,1.901463682474826
PX-211,3.1179707701165427,False,0.0,False,5.6207525532984075,1.901463682474826
PX-212,3.38574808865347,False,0.0,False,5.6207525532984075,1.901463682474826
PX-213,3.3841906173192644,False,0.0,False,5.6207525532984075,1.901463682474826
PX-214,3.723949865491832,False,0.0,False,5.6207525532984075,1.901463682474826
PX-215,3.7677372807027307,False,0.0,False,5.6207525532984075,1.901463682474826
PX-216,3.4549008955987848,False,0.0,False,5.6207525532984075,1.901463682474826
PX-217,3.713485169571902,False,0.0,False,5.6207525532984075,1.901463682474826
PX-218,4.176238839023291,False,0.0,False,5.6207525532984075,1.901463682474826
