grid_id,iso_week,score_255,risk_category,factor_breakdown
LS-00431,2026-W31,0.0,masked,"{'slope_score': 3.0, 'rainfall_score': 1.0, 'ndvi_score': None, 'drainage_score': 1.0, 'landuse_score': 1.0, 'soil_score': 4.0, 'aspect_score': 4.0}"
LS-00432,2026-W31,0.0,masked,"{'slope_score': 3.0, 'rainfall_score': 1.0, 'ndvi_score': None, 'drainage_score': 1.0, 'landuse_score': 1.0, 'soil_score': 4.0, 'aspect_score': 4.0}"
LS-00433,2026-W31,0.0,masked,"{'slope_score': 3.0, 'rainfall_score': 1.0, 'ndvi_score': None, 'drainage_score': 1.0, 'landuse_score': 1.0, 'soil_score': 4.0, 'aspect_score': 2.0}"
LS-00434,2026-W31,0.0,masked,"{'slope_score': 3.0, 'rainfall_score': 1.0, 'ndvi_score': None, 'drainage_score': 1.0, 'landuse_score': 1.0, 'soil_score': 4.0, 'aspect_score': 2.0}"
LS-00435,2026-W31,0.0,masked,"{'slope_score': 2.0, 'rainfall_score': 1.0, 'ndvi_score': None, 'drainage_score': 1.0, 'landuse_score': 1.0, 'soil_score': 4.0, 'aspect_score': 2.0}"
LS-00436,2026-W31,0.0,masked,"{'slope_score': 2.0, 'rainfall_score': 1.0, 'ndvi_score': None, 'drainage_score': 1.0, 'landuse_score': 1.0, 'soil_score': 4.0, 'aspect_score': 2.0}"
LS-00437,2026-W31,0.0,masked,"{'slope_score': 2.0, 'rainfall_score': 1.0, 'ndvi_score': None, 'drainage_score': 1.0, 'landuse_score': 1.0, 'soil_score': 4.0, 'aspect_score': 4.0}"
LS-00438,2026-W31,0.0,masked,"{'slope_score': 3.0, 'rainfall_score': 1.0, 'ndvi_score': None, 'drainage_score': 1.0, 'landuse_score': 1.0, 'soil_score': 4.0, 'aspect_score': 4.0}"
LS-00439,2026-W31,0.0,masked,"{'slope_score': 3.0, 'rainfall_score': 1.0, 'ndvi_score': None, 'drainage_score': 1.0, 'landuse_score': 1.0, 'soil_score': 4.0, 'aspect_score': 4.0}"
LS-00440,2026-W31,0.0,masked,"{'slope_score': 3.0, 'rainfall_score': 1.0, 'ndvi_score': None, 'drainage_score': 1.0, 'landuse_score': 1.0, 'soil_score': 4.0, 'aspect_score': 2.0}"
LS-00441,2026-W31,0.0,masked,"{'slope_score': 3.0, 'rainfall_score': 1.0, 'ndvi_score': None, 'drainage_score': 1.0, 'landuse_score': 1.0, 'soil_score': 4.0, 'aspect_score': 2.0}"
LS-00442,2026-W31,0.0,masked,"{'slope_score': 3.0, 'rainfall_score': 1.0, 'ndvi_score': None, 'drainage_score': 1.0, 'landuse_score': 1.0, 'soil_score': 4.0, 'aspect_score': 2.0}"
LS-00443,2026-W31,0.0,masked,"{'slope_score': 3.0, 'rainfall_score': 1.0, 'ndvi_score': None, 'drainage_score': 1.0, 'landuse_score': 1.0, 'soil_score': 4.0, 'aspect_score': 2.0}"
LS-00444,2026-W31,0.0,masked,"{'slope_score': 2.0, 'rainfall_score': 1.0, 'ndvi_score': None, 'drainage_score': 1.0, 'landuse_score': 1.0, 'soil_score': 4.0, 'aspect_score': 3.0}"
LS-00445,2026-W31,0.0,masked,"{'slope_score': 2.0, 'rainfall_score': 1.0, 'ndvi_score': None, 'drainage_score': 1.0, 'landuse_score': 1.0, 'soil_score': 4.0, 'aspect_score': 4.0}"
LS-00446,2026-W31,0.0,masked,"{'slope_score': 2.0, 'rainfall_score': 1.0, 'ndvi_score': None, 'drainage_score': 1.0, 'landuse_score': 1.0, 'soil_score': 4.0, 'aspect_score': 4.0}"
LS-00447,2026-W31,0.0,masked,"{'slope_score': 2.0, 'rainfall_score': 1.0, 'ndvi_score': None, 'drainage_score': 1.0, 'landuse_score': 1.0, 'soil_score': 4.0, 'aspect_score': 2.0}"
